LineId,Date,Time,FilterType,Content,EventId,EventTemplate,ParameterList
95,2020-01-30,"05:36:46,569",fail2ban.filter,[1066]: INFO    [sshd] Found 95.249.172.242,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '95.249.172.242']"
96,2020-01-30,"05:44:41,643",fail2ban.filter,[1066]: INFO    [sshd] Found 175.97.133.112,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '175.97.133.112']"
97,2020-01-30,"05:44:41,656",fail2ban.filter,[1066]: INFO    [sshd] Found 175.97.133.112,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '175.97.133.112']"
98,2020-01-30,"05:44:44,457",fail2ban.filter,[1066]: INFO    [sshd] Found 175.97.133.112,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '175.97.133.112']"
99,2020-01-30,"06:07:40,780",fail2ban.filter,[1066]: INFO    [sshd] Found 178.62.107.76,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '178.62.107.76']"
100,2020-01-30,"06:07:40,819",fail2ban.filter,[1066]: INFO    [sshd] Found 178.62.107.76,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '178.62.107.76']"
101,2020-01-30,"06:07:42,603",fail2ban.filter,[1066]: INFO    [sshd] Found 178.62.107.76,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '178.62.107.76']"
102,2020-01-30,"06:48:50,824",fail2ban.filter,[1066]: INFO    [sshd] Found 118.27.31.188,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '118.27.31.188']"
103,2020-01-30,"06:48:50,828",fail2ban.filter,[1066]: INFO    [sshd] Found 118.27.31.188,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '118.27.31.188']"
104,2020-01-30,"06:48:52,690",fail2ban.filter,[1066]: INFO    [sshd] Found 118.27.31.188,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '118.27.31.188']"
105,2020-01-30,"07:01:25,313",fail2ban.filter,[1066]: INFO    [sshd] Found 94.179.129.85,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '94.179.129.85']"
106,2020-01-30,"07:01:25,357",fail2ban.filter,[1066]: INFO    [sshd] Found 94.179.129.85,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '94.179.129.85']"
107,2020-01-30,"07:01:27,177",fail2ban.filter,[1066]: INFO    [sshd] Found 94.179.129.85,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '94.179.129.85']"
108,2020-01-30,"07:27:17,573",fail2ban.filter,[1066]: INFO    [sshd] Found 190.210.94.90,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '190.210.94.90']"
109,2020-01-30,"07:27:17,603",fail2ban.filter,[1066]: INFO    [sshd] Found 190.210.94.90,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '190.210.94.90']"
110,2020-01-30,"07:27:19,836",fail2ban.filter,[1066]: INFO    [sshd] Found 190.210.94.90,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '190.210.94.90']"
111,2020-01-30,"07:27:58,295",fail2ban.filter,[1066]: INFO    [sshd] Found 209.97.170.188,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '209.97.170.188']"
112,2020-01-30,"07:27:58,315",fail2ban.filter,[1066]: INFO    [sshd] Found 209.97.170.188,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '209.97.170.188']"
113,2020-01-30,"07:28:00,180",fail2ban.filter,[1066]: INFO    [sshd] Found 209.97.170.188,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '209.97.170.188']"
114,2020-01-30,"07:30:40,806",fail2ban.filter,[1066]: INFO    [sshd] Found 72.69.106.21,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '72.69.106.21']"
115,2020-01-30,"07:30:40,828",fail2ban.filter,[1066]: INFO    [sshd] Found 72.69.106.21,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '72.69.106.21']"
116,2020-01-30,"07:30:42,935",fail2ban.filter,[1066]: INFO    [sshd] Found 72.69.106.21,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '72.69.106.21']"
117,2020-01-30,"07:38:56,474",fail2ban.actions,[1066]: NOTICE  [sshd] Unban 37.187.107.63,13346cc1,[<*>]: NOTICE [sshd] <*> <*>,"['1066', 'Unban 37.187.107.63']"
118,2020-01-30,"07:43:37,205",fail2ban.filter,[1066]: INFO    [sshd] Found 41.141.252.202,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '41.141.252.202']"
119,2020-01-30,"07:43:37,217",fail2ban.filter,[1066]: INFO    [sshd] Found 41.141.252.202,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '41.141.252.202']"
120,2020-01-30,"07:43:39,005",fail2ban.filter,[1066]: INFO    [sshd] Found 41.141.252.202,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '41.141.252.202']"
121,2020-01-30,"07:56:55,581",fail2ban.filter,[1066]: INFO    [sshd] Found 51.15.41.165,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '51.15.41.165']"
122,2020-01-30,"07:56:55,594",fail2ban.filter,[1066]: INFO    [sshd] Found 51.15.41.165,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '51.15.41.165']"
123,2020-01-30,"07:56:57,597",fail2ban.filter,[1066]: INFO    [sshd] Found 51.15.41.165,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '51.15.41.165']"
124,2020-01-30,"07:59:04,343",fail2ban.filter,[1066]: INFO    [sshd] Found 125.132.148.147,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '125.132.148.147']"
125,2020-01-30,"07:59:04,367",fail2ban.filter,[1066]: INFO    [sshd] Found 125.132.148.147,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '125.132.148.147']"
126,2020-01-30,"07:59:06,401",fail2ban.filter,[1066]: INFO    [sshd] Found 125.132.148.147,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '125.132.148.147']"
127,2020-01-30,"08:11:08,638",fail2ban.filter,[1066]: INFO    [sshd] Found 94.179.129.85,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '94.179.129.85']"
128,2020-01-30,"08:11:08,648",fail2ban.filter,[1066]: INFO    [sshd] Found 94.179.129.85,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '94.179.129.85']"
129,2020-01-30,"08:11:10,753",fail2ban.filter,[1066]: INFO    [sshd] Found 94.179.129.85,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '94.179.129.85']"
130,2020-01-30,"08:55:17,817",fail2ban.filter,[1066]: INFO    [sshd] Found 81.133.189.239,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '81.133.189.239']"
131,2020-01-30,"09:01:57,858",fail2ban.filter,[1066]: INFO    [sshd] Found 179.232.1.254,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '179.232.1.254']"
132,2020-01-30,"09:05:37,443",fail2ban.filter,[1066]: INFO    [sshd] Found 179.232.1.254,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '179.232.1.254']"
133,2020-01-30,"09:36:45,154",fail2ban.filter,[1066]: INFO    [sshd] Found 122.51.96.57,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '122.51.96.57']"
134,2020-01-30,"09:36:45,169",fail2ban.filter,[1066]: INFO    [sshd] Found 122.51.96.57,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '122.51.96.57']"
135,2020-01-30,"09:36:46,822",fail2ban.filter,[1066]: INFO    [sshd] Found 122.51.96.57,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '122.51.96.57']"
136,2020-01-30,"09:55:07,303",fail2ban.filter,[1066]: INFO    [sshd] Found 117.184.114.140,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '117.184.114.140']"
137,2020-01-30,"09:55:07,321",fail2ban.filter,[1066]: INFO    [sshd] Found 117.184.114.140,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '117.184.114.140']"
138,2020-01-30,"09:55:08,929",fail2ban.filter,[1066]: INFO    [sshd] Found 117.184.114.140,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '117.184.114.140']"
139,2020-01-30,"09:55:57,680",fail2ban.filter,[1066]: INFO    [sshd] Found 101.89.197.232,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '101.89.197.232']"
140,2020-01-30,"09:55:57,695",fail2ban.filter,[1066]: INFO    [sshd] Found 101.89.197.232,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '101.89.197.232']"
141,2020-01-30,"09:55:59,498",fail2ban.filter,[1066]: INFO    [sshd] Found 101.89.197.232,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '101.89.197.232']"
142,2020-01-30,"10:12:27,456",fail2ban.filter,[1066]: INFO    [sshd] Found 61.189.243.28,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '61.189.243.28']"
143,2020-01-30,"10:12:27,462",fail2ban.filter,[1066]: INFO    [sshd] Found 61.189.243.28,981274cf,[<*>]: INFO <*> Found <*>,"['1066', '[sshd]', '61.189.243.28']"
