LineId,Host,DateTime,TimeZone,Connection,Type,Status,Port,Unknown,Content,EventId,EventTemplate,ParameterList
14,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/css/mmenu.css?ver=5.2.0 HTTP/1.1,200,5255,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
15,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/js/jquery.matchHeight.js?ver=1.3.0 HTTP/1.1,200,3162,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
16,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/js/jquery.mmenu.offcanvas.js?ver=5.2.0 HTTP/1.1,200,2658,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
17,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/js/jquery.mmenu.navbars.js?ver=5.2.0 HTTP/1.1,200,1385,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
18,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/js/slick.js?ver=1.5.7 HTTP/1.1,200,13702,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
19,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/js/superfish.js?ver=1.7.5 HTTP/1.1,200,2679,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
20,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-includes/js/jquery/jquery.js?ver=1.12.4-wp HTTP/1.1,200,34129,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
21,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/js/jquery.fitvids.js?ver=1.1 HTTP/1.1,200,1806,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
22,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.min.js?ver=7.10.0 HTTP/1.1,200,3117,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
23,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/js/scripts.js?ver=1.3.0 HTTP/1.1,200,1364,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
24,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-includes/js/wp-embed.min.js?ver=5.2.5 HTTP/1.1,200,1102,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
25,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/uploads/2017/02/Untitled-200x200.jpg HTTP/1.1,200,6301,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
26,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/themes/olsen-light/js/jquery.magnific-popup.js?ver=1.0.0 HTTP/1.1,200,14314,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
27,128.131.168.117,[05/Feb/2020:12:49:11,+0100],GET,wp-content/uploads/2016/07/Untitled.png HTTP/1.1,200,4243,http://juang.id/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:72.0) Gecko/20100101 Firefox/72.0,a7cbdcfa,Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*> <*> Gecko/<*> <*>,"['5.0', '10.15; rv:72.0)', '20100101 Firefox/72.0']"
